id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
13350,City of Milwaukee Ward 208 ,24,25,39,0
13353,City of Milwaukee Ward 209 ,9,15,24,0
13356,City of Milwaukee Ward 210 ,7,7,8,0
13359,City of Milwaukee Ward 211 ,2,3,11,0
13362,City of Milwaukee Ward 212 ,1,11,12,0
13365,City of Milwaukee Ward 213 ,3,14,19,0
13368,City of Milwaukee Ward 214 ,4,3,11,0
13371,City of Milwaukee Ward 215 ,13,10,16,0
13374,City of Milwaukee Ward 216 ,21,44,61,0
13377,City of Milwaukee Ward 217 ,2,3,8,0
13380,City of Milwaukee Ward 218 ,14,9,16,0
13383,City of Milwaukee Ward 219 ,6,4,5,0
13386,City of Milwaukee Ward 220 ,0,6,7,1
13389,City of Milwaukee Ward 221 ,3,6,7,1
13392,City of Milwaukee Ward 222 ,15,10,22,0
13395,City of Milwaukee Ward 223 ,17,9,30,0
13398,City of Milwaukee Ward 224 ,1,1,3,0
13401,City of Milwaukee Ward 225 ,9,16,9,0
13404,City of Milwaukee Ward 226 ,1,1,3,0
13407,City of Milwaukee Ward 227 ,1,1,2,0
13410,City of Milwaukee Ward 228 ,6,3,16,0
13413,City of Milwaukee Ward 229 ,9,2,15,0
13416,City of Milwaukee Ward 230 ,37,10,64,1
13419,City of Milwaukee Ward 231 ,11,7,11,0
13422,City of Milwaukee Ward 232 ,7,6,9,1
13425,City of Milwaukee Ward 233 ,3,2,5,0
13428,City of Milwaukee Ward 234 ,4,4,1,0
