id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
13783,City of Milwaukee Ward 352 ,0,0,0,0
13786,City of Milwaukee Ward 353 ,0,0,0,0
13789,City of Milwaukee Ward 354 ,0,0,0,0
16351,City of Milwaukee Ward 355 ,4,2,4,0
16354,City of Milwaukee Ward 356 ,6,10,18,0
13792,Village of Bayside Wards 1-5 ,174,121,298,1
13801,"V. Brown Deer Wards 1,2 ",78,91,137,0
13807,"V. Brown Deer Wards 3,4,7 ",93,98,160,2
13810,"V. Brown Deer Wards 5,6 ",105,97,137,0
13813,"City of Cudahy Wards 1,2,3 ",102,82,133,0
13816,"City of Cudahy Wards 4,5,6 ",45,53,102,2
13819,"City of Cudahy Wards 7,8,9 ",28,49,50,0
13822,"City of Cudahy Wards 10,11,12 ",74,82,123,0
13825,"City of Cudahy Wards 13,14,15 ",64,64,110,1
13828,"V. Fox Point Wards 1,2,3,4 ",106,79,180,0
13831,"V. Fox Point Wards 5,6,7,8,9 ",130,88,268,1
13834,City of Franklin Ward 1 ,12,27,11,0
13840,City of Franklin Ward 2 ,32,55,54,0
13843,City of Franklin Ward 3 ,45,58,59,0
13846,City of Franklin Ward 4 ,14,53,33,0
13849,City of Franklin Ward 5 ,50,70,54,0
13852,City of Franklin Ward 6 ,35,70,61,0
13855,City of Franklin Ward 7 ,45,75,54,0
13858,City of Franklin Ward 8 ,13,42,27,1
13861,City of Franklin Ward 9 ,9,15,26,0
13864,City of Franklin Ward 10 ,9,19,13,0
13867,City of Franklin Ward 11 ,40,98,58,0
13870,City of Franklin Ward 12 ,36,68,43,0
13879,City of Franklin Ward 13 ,12,34,18,0
13882,City of Franklin Ward 14 ,29,60,53,0
13885,City of Franklin Ward 15 ,16,58,49,0
13894,City of Franklin Ward 16 ,36,52,38,0
13897,City of Franklin Ward 17 ,22,38,39,0
13900,City of Franklin Ward 18 ,18,35,16,0
13903,City of Franklin Ward 19 ,34,63,57,0
13906,City of Franklin Ward 20 ,19,42,31,0
13909,City of Franklin Ward 21 ,45,88,72,0
13912,City of Franklin Ward 22 ,43,80,78,2
13915,"City of Glendale Wards 1,7 ",60,29,113,0
13918,"City of Glendale Wards 2,8 ",101,69,200,0
13921,"City of Glendale Wards 3,9 ",79,63,119,0
13924,"City of Glendale Wards 4,10 ",77,52,181,2
13927,"City of Glendale Wards 5,11 ",82,41,149,0
13930,"City of Glendale Wards 6,12 ",51,43,118,1
13933,"V. Greendale Wards 1,2,3,4.9,10 ",255,324,300,2
13936,"V. Greendale Wards 5,6,7,8,11 ",161,226,224,1
13945,City of Greenfield Ward 1 ,34,35,48,0
13948,City of Greenfield Ward 2 ,23,36,42,0
13951,City of Greenfield Ward 3 ,16,31,32,0
13954,City of Greenfield Ward 4 ,18,19,29,0
13957,City of Greenfield Ward 5 ,0,3,0,0
13960,City of Greenfield Ward 6 ,1,4,3,0
13963,City of Greenfield Ward 7 ,0,0,0,0
13966,City of Greenfield Ward 8 ,38,46,56,1
13969,City of Greenfield Ward 9 ,35,51,37,0
13972,City of Greenfield Ward 10 ,26,39,38,0
13975,City of Greenfield Ward 11 ,36,50,71,1
13978,City of Greenfield Ward 12 ,15,38,25,0
13981,City of Greenfield Ward 13 ,56,68,77,0
13984,City of Greenfield Ward 14 ,33,63,59,0
13987,City of Greenfield Ward 15 ,49,80,87,0
13990,City of Greenfield Ward 16 ,32,73,88,0
13993,City of Greenfield Ward 17 ,18,22,43,2
13996,City of Greenfield Ward 18 ,24,21,36,0
13999,City of Greenfield Ward 19 ,21,42,34,0
14002,City of Greenfield Ward 20 ,5,10,14,2
14005,City of Greenfield Ward 21 ,21,28,33,0
14008,City of Greenfield Ward 22 ,26,46,40,0
14011,City of Greenfield Ward 23 ,63,57,108,0
14014,City of Greenfield Ward 24 ,48,59,67,0
14017,City of Greenfield Ward 25 ,8,40,27,0
14020,City of Greenfield Ward 26 ,8,5,7,0
14023,"V. Hales Corners Wards 1,2,3 ",49,104,57,0
14026,"V. Hales Corners Wards 4,5,6 ",48,78,57,0
14029,"V. Hales Corners Wards 7,8,9 ",83,93,80,0
14032,C. Oak Creek Ward 1 ,43,47,63,1
14035,C. Oak Creek Ward 2 ,50,65,42,1
14038,C. Oak Creek Ward 3 ,43,66,61,0
14041,C. Oak Creek Ward 4 ,28,71,59,1
14044,C. Oak Creek Ward 5 ,29,31,25,0
14047,C. Oak Creek Ward 6 ,29,42,55,0
14050,C. Oak Creek Ward 7 ,40,57,58,0
14053,C. Oak Creek Ward 8 ,30,89,56,0
14056,C. Oak Creek Ward 9 ,32,59,66,0
14059,C. Oak Creek Ward 10 ,35,57,71,0
14062,C. Oak Creek Ward 11 ,36,80,61,0
14065,C. Oak Creek Ward 12 ,49,93,73,0
14068,C. Oak Creek Ward 13 ,53,99,57,2
14071,C. Oak Creek Ward 14 ,52,70,41,2
14074,C. Oak Creek Ward 15 ,49,74,65,3
